City_ID,City,Country,Max Temp,Weather Condition,Lat,Lng,Hotel Name
479,Hohhot,CN,69.8,clear sky,40.81,111.65,Sheraton Hohhot Hotel
480,Zonguldak,TR,59.88,clear sky,41.25,31.83,Süleyman Tez Ev
481,Flinders,AU,55.99,few clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
482,Maragogi,BR,72.68,light rain,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
483,Sao Felix Do Xingu,BR,75.24,broken clouds,-6.64,-51.99,Apart Hotel Rio Xingu
484,Ponta Do Sol,PT,68.0,few clouds,32.67,-17.1,Hotel do Campo
485,Vigrestad,NO,55.0,overcast clouds,58.57,5.7,Brusand Camping
486,Lata,PT,64.0,scattered clouds,40.16,-8.33,Casa Maquia
487,Clyde River,CA,37.4,light rain,70.47,-68.59,Qamaq Hotel
488,Owen Sound,CA,68.0,clear sky,44.57,-80.94,Comfort Inn
